"District","Division","Area","Club","Club Name","New","Late Ren.","Oct. Ren.","Apr. Ren.","Total Ren.","Total Chart","Total to Date","Distinguished Status","Charter Date/Suspend Date"
"31","A","11","00000508","Merrimack Toastmasters Club","0","0","1","0","1","0","1","",""
"31","A","11","00008508","Clipper City Club","0","1","1","0","2","0","2","",""
"31","A","11","07675820","EBSCO Toastmasters","0","0","0","0","0","0","0","",""
"31","A","11","07988557","New England Biolabs","0","0","0","0","0","0","0","",""
"31","A","12","01225457","Harold Parker Toastmasters","0","0","1","0","1","0","1","",""
"31","A","12","03785939","Advanced Articulators of Andover","0","0","0","0","0","0","0","",""
"31","A","12","06892975","Analog Orators","0","0","1","0","1","0","1","",""
"31","A","12","28677456","South East Toastmasters","0","0","0","0","0","0","0","",""
"31","A","13","00002779","MITRE  Toastmasters Club","0","0","1","0","1","0","1","",""
"31","A","13","00005525","The Last Word","0","0","0","0","0","0","0","",""
"31","A","13","05560447","Toast of the Town","1","0","0","0","0","0","1","",""
"31","A","13","07928167","ToaSTRs","0","0","0","0","0","0","0","",""
"31","A","14","00003565","Eastern Middlesex Toastmasters","0","0","5","0","5","0","5","",""
"31","A","14","00003908","Northshore Toastmasters Club","5","0","0","0","0","0","5","",""
"31","A","14","00735541","Toastmasters Club of Beverly MA","0","0","1","0","1","0","1","",""
"31","A","14","07962029","Toastmasters at Abiomed","2","0","0","0","0","0","2","",""
"31","B","21","00002193","Isaac Davis Club","0","0","1","0","1","0","1","",""
"31","B","21","00004690","Westford Expressions Club","0","0","0","0","0","0","0","",""
"31","B","21","00007677","Wachusett Toastmasters #7677","0","0","0","0","0","0","0","",""
"31","B","21","00008753","Twin City Club","0","0","0","0","0","0","0","",""
"31","B","22","00004031","Chelmsford Toastmasters Club","0","0","0","0","0","0","0","",""
"31","B","22","02078400","Mill City Toastmasters","0","0","2","0","2","0","2","",""
"31","B","22","03550659","New Life Toastmasters Club","2","0","0","0","0","0","2","",""
"31","B","22","07958590","Share the Spark","0","0","0","0","0","0","0","",""
"31","B","23","00002201","Hanscom Toastmasters Club","1","0","2","0","2","0","3","",""
"31","B","23","00003981","Alcott Toastmasters","0","0","0","0","0","0","0","",""
"31","B","23","00909842","Lincoln Laboratory Toastmasters Club","0","0","1","0","1","0","1","",""
"31","B","23","01528212","Energy Talks","0","0","5","1","6","0","6","",""
"31","B","24","00002288","Minutemen Toastmasters of Waltham","0","0","1","0","1","0","1","",""
"31","B","24","00005738","Sales & Marketing Club","1","0","19","0","19","0","20","",""
"31","B","24","00006174","AccelOrators Advanced Toastmasters","0","0","1","1","2","0","2","",""
"31","B","24","00006272","Lexington Toastmasters","0","0","9","0","9","0","9","",""
"31","B","25","00002753","Sylvan Speakers Wednesday Noon Eastern US Time Club","0","0","0","0","0","0","0","",""
"31","B","25","03077435","Broadcasters Toastmasters","2","0","4","1","5","0","7","",""
"31","B","25","03163158","Dassault Systemes Boston Campus Toastmasters Club","2","0","4","0","4","0","6","",""
"31","B","25","07881302","Qlik Orators","0","0","0","0","0","0","0","",""
"31","C","31","00977250","Crimson Toastmasters Club","2","0","5","0","5","0","7","",""
