"District","Division","Area","Club","Club Name","New","Late Ren.","Oct. Ren.","Apr. Ren.","Total Ren.","Total Chart","Total to Date","Distinguished Status","Charter Date/Suspend Date"
"31","A","11","00000508","Merrimack Toastmasters Club","11","0","14","14","28","0","39","",""
"31","A","11","00008508","Clipper City Club","4","1","14","13","28","0","32","",""
"31","A","11","07675820","EBSCO Toastmasters","8","0","12","11","23","0","31","",""
"31","A","11","07988557","New England Biolabs","3","0","17","20","37","0","40","",""
"31","A","12","01225457","Harold Parker Toastmasters","6","0","7","9","16","0","22","",""
"31","A","12","03785939","Advanced Articulators Online","6","0","9","12","21","0","27","",""
"31","A","12","06892975","Analog Orators","2","0","7","6","13","0","15","",""
"31","A","12","28677456","South East Toastmasters","19","0","0","8","8","0","27","",""
"31","A","13","00002779","MITRE  Toastmasters Club","1","0","8","8","16","0","17","",""
"31","A","13","00005525","The Last Word","3","0","8","6","14","0","17","",""
"31","A","13","05560447","Toast of the Town","3","0","25","16","41","0","44","",""
"31","A","13","07928167","ToaSTRs","3","0","9","8","17","0","20","",""
"31","A","14","00003565","Eastern Middlesex Toastmasters","8","0","25","18","43","0","51","",""
"31","A","14","00003908","Northshore Toastmasters Club","15","0","28","26","54","0","69","",""
"31","A","14","00735541","Toastmasters Club of Beverly MA","2","0","7","5","12","0","14","",""
"31","A","14","07962029","Toastmasters at Abiomed","5","0","10","10","20","0","25","",""
"31","B","21","00002193","Isaac Davis Club","4","0","13","10","23","0","27","",""
"31","B","21","00004690","Westford Expressions Club","3","0","17","10","27","0","30","",""
"31","B","21","00007677","Wachusett Toastmasters #7677","5","0","14","11","25","0","30","",""
"31","B","21","00008753","Twin City Club","2","0","10","2","12","0","14","",""
"31","B","22","00004031","Chelmsford Toastmasters Club","9","0","14","14","28","0","37","",""
"31","B","22","02078400","Mill City Toastmasters","2","0","10","11","21","0","23","",""
"31","B","22","03550659","New Life Toastmasters Club","5","0","10","11","21","0","26","",""
"31","B","22","07958590","Share the Spark","2","0","13","15","28","0","30","",""
"31","B","23","00002201","Hanscom Toastmasters Club","2","0","13","8","21","0","23","",""
"31","B","23","00003981","Alcott Toastmasters","9","0","18","18","36","0","45","",""
"31","B","23","00909842","Lincoln Laboratory Toastmasters Club","2","0","9","8","17","0","19","",""
"31","B","23","01528212","Energy Talks","11","0","14","21","35","0","46","",""
"31","B","24","00002288","Minutemen Toastmasters of Waltham","2","0","8","8","16","0","18","",""
"31","B","24","00005738","Sales & Marketing Club","5","0","21","10","31","0","36","",""
"31","B","24","00006174","AccelOrators Advanced Toastmasters","1","0","8","8","16","0","17","",""
"31","B","24","00006272","Lexington Toastmasters","6","0","25","12","37","0","43","",""
"31","B","25","00002753","Sylvan Speakers Wednesday Noon Eastern US Time Club","4","0","11","10","21","0","25","",""
"31","B","25","03077435","Broadcasters Toastmasters","25","0","38","28","66","0","91","",""
"31","B","25","03163158","Dassault Systemes Boston Campus Toastmasters Club","7","0","27","24","51","0","58","",""
"31","B","25","07881302","Qlik Orators","1","0","11","0","11","0","12","",""
"31","C","31","00977250","Crimson Toastmasters Club","11","0","16","18","34","0","45","",""
"31","C","31","01295807","Somerville Toastmasters","13","1","39","30","70","0","83","",""
"31","C","31","03885194","Winchester Toastmasters","7","0","29","21","50","0","57","",""
"31","C","31","07049346","Saturday Toastmasters of Arlington","5","0","9","11","20","0","25","",""
"31","C","32","00001867","Talk Of The Town Club","13","0","19","24","43","0","56","",""
"31","C","32","00006670","Speak Up Cambridge","8","0","10","2","12","0","20","",""
"31","C","32","04025968","Toast Wizards","4","0","19","12","31","0","35","",""
"31","C","32","28675787","East Coast Toastmasters","0","0","12","3","15","0","15","",""
"31","C","33","00007831","Humor And Drama Toastmasters","1","0","7","8","15","0","16","",""
"31","C","33","00008843","Toastmasters @ MIT","1","0","8","3","11","0","12","",""
"31","C","33","00680823","Tuesday Toastmasters at MIT Club","13","1","16","8","25","0","38","",""
"31","C","33","01928495","Novartis Toastmasters @ Cambridge","0","0","0","0","0","0","0",""," Susp 09/30/25"
"31","C","33","06423576","Takeda Toastmasters","16","0","20","22","42","0","58","",""
"31","C","34","04975343","AKAToasts","9","0","19","22","41","0","50","",""
"31","C","34","07032755","Toastmasters Google Cambridge","3","0","6","6","12","0","15","",""
"31","C","34","07301975","The Toastologists","0","0","0","0","0","0","0",""," Susp 09/30/25"
"31","C","34","28676919","Moderna-Cambridge","0","0","0","0","0","0","0","",""
"31","C","34","28676929","BMS Toastmasters at CMX","1","0","16","11","27","0","28","",""
"31","C","35","00002352","Sun Life Club","0","0","0","0","0","0","0",""," Susp 10/01/25"
"31","C","35","02263055","Watertown Saturday Toastmasters","8","0","8","12","20","0","28","",""
"31","C","35","07754658","Newton Voices Toastmasters","2","0","13","12","25","0","27","",""
"31","C","35","28678055","Toast in Common","21","0","5","24","29","0","50","",""
"31","C","35","28678795","Clear Water Communicators","2","0","15","13","28","0","30","",""
