"District","Division","Area","Club","Club Name","New","Late Ren.","Oct. Ren.","Apr. Ren.","Total Ren.","Total Chart","Total to Date","Distinguished Status","Charter Date/Suspend Date"
"31","A","11","00000508","Merrimack Toastmasters Club","11","0","14","17","31","0","42","",""
"31","A","11","00008508","Clipper City Club","6","1","14","13","28","0","34","",""
"31","A","11","07675820","EBSCO Toastmasters","8","0","12","11","23","0","31","",""
"31","A","11","07988557","New England Biolabs","3","0","17","20","37","0","40","",""
"31","A","12","01225457","Harold Parker Toastmasters","6","0","7","9","16","0","22","",""
"31","A","12","03785939","Advanced Articulators Online","8","0","9","12","21","0","29","D",""
"31","A","12","06892975","Analog Orators","3","0","7","6","13","0","16","",""
"31","A","12","28677456","South East Toastmasters","27","0","0","9","9","0","36","",""
"31","A","13","00002779","MITRE  Toastmasters Club","1","0","8","8","16","0","17","",""
"31","A","13","00005525","The Last Word","3","0","8","8","16","0","19","",""
"31","A","13","05560447","Toast of the Town","3","0","25","16","41","0","44","",""
"31","A","13","07928167","ToaSTRs","3","0","9","8","17","0","20","",""
"31","A","14","00003565","Eastern Middlesex Toastmasters","8","0","25","18","43","0","51","",""
"31","A","14","00003908","Northshore Toastmasters Club","15","0","28","26","54","0","69","S",""
"31","A","14","00735541","Toastmasters Club of Beverly MA","4","0","7","7","14","0","18","",""
"31","A","14","07962029","Toastmasters at Abiomed","5","0","10","10","20","0","25","",""
"31","B","21","00002193","Isaac Davis Club","4","0","13","11","24","0","28","",""
"31","B","21","00004690","Westford Expressions Club","4","0","17","15","32","0","36","",""
"31","B","21","00007677","Wachusett Toastmasters #7677","6","0","14","12","26","0","32","",""
"31","B","21","00008753","Twin City Club","3","0","10","2","12","0","15","",""
"31","B","22","00004031","Chelmsford Toastmasters Club","9","0","14","17","31","0","40","",""
"31","B","22","02078400","Mill City Toastmasters","2","0","10","11","21","0","23","",""
"31","B","22","03550659","New Life Toastmasters Club","5","0","10","11","21","0","26","",""
"31","B","22","07958590","Share the Spark","3","0","13","15","28","0","31","",""
"31","B","23","00002201","Hanscom Toastmasters Club","4","0","13","10","23","0","27","",""
"31","B","23","00003981","Alcott Toastmasters","11","0","18","20","38","0","49","S",""
"31","B","23","00909842","Lincoln Laboratory Toastmasters Club","3","0","9","9","18","0","21","",""
"31","B","23","01528212","Energy Talks","11","0","14","21","35","0","46","",""
"31","B","24","00002288","Minutemen Toastmasters of Waltham","2","0","8","8","16","0","18","",""
"31","B","24","00005738","Sales & Marketing Club","5","0","21","10","31","0","36","",""
"31","B","24","00006174","AccelOrators Advanced Toastmasters","2","0","8","8","16","0","18","",""
"31","B","24","00006272","Lexington Toastmasters","6","0","25","18","43","0","49","",""
"31","B","25","00002753","Sylvan Speakers Wednesday Noon Eastern US Time Club","4","0","11","12","23","0","27","",""
"31","B","25","03077435","Broadcasters Toastmasters","25","0","38","29","67","0","92","",""
"31","B","25","03163158","Dassault Systemes Boston Campus Toastmasters Club","9","0","27","25","52","0","61","S",""
"31","B","25","07881302","Qlik Orators","1","0","11","0","11","0","12","",""
"31","C","31","00977250","Crimson Toastmasters Club","13","0","16","19","35","0","48","D",""
"31","C","31","01295807","Somerville Toastmasters","15","1","39","34","74","0","89","S",""
"31","C","31","03885194","Winchester Toastmasters","7","0","29","22","51","0","58","",""
"31","C","31","07049346","Saturday Toastmasters of Arlington","6","0","9","11","20","0","26","",""
"31","C","32","00001867","Talk Of The Town Club","14","0","19","25","44","0","58","",""
"31","C","32","00006670","Speak Up Cambridge","8","0","10","2","12","0","20","",""
"31","C","32","04025968","Toast Wizards","4","0","19","14","33","0","37","",""
"31","C","32","28675787","East Coast Toastmasters","4","0","12","3","15","0","19","",""
"31","C","33","00007831","Humor And Drama Toastmasters","1","0","7","8","15","0","16","",""
"31","C","33","00008843","Toastmasters @ MIT","1","0","8","4","12","0","13","",""
"31","C","33","00680823","Tuesday Toastmasters at MIT Club","14","1","16","9","26","0","40","",""
"31","C","33","01928495","Novartis Toastmasters @ Cambridge","0","0","0","0","0","0","0",""," Susp 09/30/25"
"31","C","33","06423576","Takeda Toastmasters","19","0","20","23","43","0","62","D",""
"31","C","34","04975343","AKAToasts","9","0","19","22","41","0","50","",""
"31","C","34","07032755","Toastmasters Google Cambridge","3","0","6","7","13","0","16","",""
"31","C","34","07301975","The Toastologists","0","0","0","0","0","0","0",""," Susp 09/30/25"
"31","C","34","28676919","Moderna-Cambridge","0","0","0","0","0","0","0","",""
"31","C","34","28676929","BMS Toastmasters at CMX","1","0","16","11","27","0","28","",""
"31","C","35","00002352","Sun Life Club","0","0","0","0","0","0","0",""," Susp 10/01/25"
"31","C","35","02263055","Watertown Saturday Toastmasters","9","0","8","12","20","0","29","",""
"31","C","35","07754658","Newton Voices Toastmasters","2","0","13","12","25","0","27","",""
"31","C","35","28678055","Toast in Common","22","0","5","24","29","0","51","",""
"31","C","35","28678795","Clear Water Communicators","2","0","15","15","30","0","32","",""
"31","C","35","28678864","Boston Mutual Life","3","0","0","5","5","20","28","","Charter 10/01/25"
"31","D","41","00001074","Boston Toastmasters","32","0","27","24","51","0","83","",""
"31","D","41","00006454","Copley Square Toastmasters","8","0","10","11","21","0","29","",""
"31","D","41","00008387","Boston Speech Party Toastmasters Club","1","0","9","8","17","0","18","",""
"31","D","41","02389888","Northeastern University Toastmasters","0","0","0","0","0","0","0","",""
"31","D","42","00007625","POCH Club","1","0","6","6","12","0","13","",""
"31","D","42","02908808","FactMasters","8","0","12","14","26","0","34","",""
"31","D","42","04340726","Toastmasters General","2","0","10","9","19","0","21","",""
"31","D","42","07057227","LEADA@Liberty Toastmasters","17","0","22","19","41","0","58","S",""
"31","D","42","28677354","Beantown Toasters Toastmasters","10","0","17","9","26","0","36","",""
"31","D","43","00003757","TM at the FRB - Boston Club","6","1","12","13","26","0","32","",""
"31","D","43","00003991","Boston Seaport Toastmasters","5","0","11","11","22","0","27","",""
"31","D","43","07116868","Unified Voices","6","0","10","11","21","0","27","",""
"31","D","43","28676359","Toastmasters@Pier4","11","0","14","15","29","0","40","",""
"31","D","43","28678250","BBH Beantown Articulators","0","0","21","0","21","0","21","",""
"31","D","44","01971671","Boston University Medical Campus","3","0","5","7","12","0","15","",""
"31","D","44","03574270","Advanced Access","1","0","15","12","27","0","28","",""
"31","D","44","03686963","Toast with Friends","12","0","17","19","36","0","48","S",""
"31","D","44","06935140","Boston College Toastmasters Club","5","0","26","26","52","0","57","",""
"31","D","44","06943872","Optum Tech Toasts","0","0","0","0","0","0","0","",""
"31","E","51","00727120","Village Toastmasters Club","6","0","12","10","22","0","28","",""
"31","E","51","05870865","Unibank Toastmasters","3","0","10","7","17","0","20","",""
"31","E","51","28677455","West Coast/Central Toastmasters","2","0","18","10","28","0","30","",""
"31","E","51","28678135","Wilson Toastmasters","3","0","14","11","25","0","28","",""
"31","E","52","00002277","Central Club","4","0","7","7","14","0","18","",""
"31","E","52","00005574","Early Risers Toastmasters Club","1","0","8","8","16","0","17","",""
"31","E","52","00994078","AbbVie Bioresearch Toastmasters","3","0","21","21","42","0","45","",""
"31","E","52","06978693","Seven Hills Advanced Toastmasters","1","0","8","9","17","0","18","",""
"31","E","53","00004495","Paul Revere Toastmasters","8","0","9","11","20","0","28","",""
"31","E","53","00005414","Articulators Club","3","0","15","16","31","0","34","",""
"31","E","53","05073971","Shrewsbury Toastmasters","16","1","31","26","58","0","74","S",""
"31","E","53","06751480","Otis Street Orators","2","0","14","13","27","0","29","",""
"31","E","54","00003555","Staples Club","23","0","24","14","38","0","61","D",""
"31","E","54","00007163","3Talkers Club","3","0","13","13","26","0","29","",""
"31","E","54","01154970","Speakeasy","2","0","11","7","18","0","20","",""
"31","E","54","05991864","Boroughs Toastmasters","4","0","15","15","30","0","34","",""
"31","E","55","00003993","Framingham / Natick Toastmasters","18","0","24","21","45","0","63","S",""
"31","E","55","00004641","Speech Invaders Club","10","0","17","21","38","0","48","S",""
"31","E","55","00743989","Dell EMC Hopkinton","0","0","11","8","19","0","19","",""
"31","E","55","06430390","Metrowest Toastmasters","2","0","16","12","28","0","30","",""
"31","F","61","00008310","Upper Cape Toastmasters","5","0","17","16","33","0","38","",""
"31","F","61","01174738","South Coast Toastmasters","3","0","12","9","21","0","24","",""
"31","F","61","01329712","Outermost Toast","3","0","13","12","25","0","28","",""
"31","F","61","07959859","V.O.L.U.M.E. Toastmasters","0","0","8","0","8","0","8","",""
"31","F","62","00002685","Tri-County Talkers Toastmasters Club","3","0","14","10","24","0","27","",""
"31","F","62","00003345","Advanced Orators Club","3","0","9","9","18","0","21","",""
"31","F","62","00004652","Network Voice Toastmasters Club","9","0","16","24","40","0","49","S",""
"31","F","62","01118652","South Shore Toastmasters","8","0","18","13","31","0","39","",""
"31","F","63","00001625","Achievers Toastmasters Club","2","0","10","0","10","0","12","",""
"31","F","63","00008612","Spirited Speakers","1","0","10","8","18","0","19","",""
"31","F","63","00009771","Fox Vox Toastmasters Club","2","0","8","9","17","0","19","",""
"31","F","63","01576564","Toastmasters in Motion","5","0","17","15","32","0","37","",""
"31","F","64","00000675","Quincy Toastmasters Club","14","0","36","32","68","0","82","M",""
"31","F","64","00000849","Quannapowitt Toastmasters","2","0","8","8","16","0","18","",""
"31","F","64","00008331","Blue Masters Toastmasters Club","6","0","10","14","24","0","30","",""
"31","F","64","05930724","JP Toastmasters","1","0","11","9","20","0","21","",""
"31","F","65","00003926","Norwood Toastmasters Club","15","0","24","21","45","0","60","D",""
"31","F","65","00004735","Boston West Toastmasters Club","14","0","28","26","54","0","68","M",""
"31","F","65","00873714","Point32Health Toastmasters Club","0","0","0","0","0","0","0",""," Susp 09/30/25"
"31","F","65","04389390","Amazon Boston Toastmasters","7","0","6","9","15","0","22","",""
"31","F","65","28678764","CCC Toastmasters","0","0","0","0","0","0","0",""," Susp 12/01/25"
"31","F","65","28679111","Union Capital Boston Toastmasters Club","4","0","0","7","7","20","31","","Charter 10/08/25"
"31","G","71","00000854","Ocean State Toastmasters","5","0","11","13","24","0","29","",""
"31","G","71","00843267","FM Toastmasters","6","0","14","10","24","0","30","",""
"31","G","71","00849200","East Coast Toast","1","0","7","7","14","0","15","",""
"31","G","71","01427152","Rhode Island Active Toastmasters","17","0","34","30","64","0","81","P",""
"31","G","72","00001109","Island Foghorns Toastmasters Club","3","0","10","8","18","0","21","",""
"31","G","72","00001172","Whaling City Club","1","1","12","9","22","0","23","",""
"31","G","72","04750180","Fall River Innovators","9","0","13","17","30","0","39","D",""
"31","G","72","28675592","Celldex Toastmasters","3","0","10","12","22","0","25","",""
"31","G","73","00005288","Mutually Speaking Toastmasters Club","1","0","7","7","14","0","15","",""
"31","G","73","00009556","East Bay Toastmasters Club","10","0","19","13","32","0","42","",""
"31","G","73","28677501","Ocean State Orators","2","0","13","9","22","0","24","",""
"31","G","73","28677736","Ocean State Speaking Network","0","0","15","2","17","0","17","",""
"31","G","74","00005464","Voice of Franklin Club","9","0","16","12","28","0","37","",""
"31","G","74","00006868","Saturday Brunch Bunch Club","1","1","12","13","26","0","27","",""
"31","G","74","01257890","Franklin 5","2","0","8","4","12","0","14","",""
"31","G","74","07073679","CVS Health Marketing Toastmasters","5","0","18","19","37","0","42","",""
Month of Apr, As of 04/10/2026
